Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Opelousas, LA Micro Area",82128,5832,5970,6391,5684,4859,5077,5268,4782,4848,4275,4740,4502,6251,4603,3737,2589,1249,1471,37.5,94.2,30987,8309,6788,5924,4434,5532,45637,62849
"Orangeburg, SC Micro Area",83531,4387,4941,5437,6682,5592,4834,4758,4183,4535,4313,4873,5048,6721,6160,4078,3272,1987,1730,40.8,88.5,32260,8868,5749,6429,3188,8026,43214,61346
"Orlando-Kissimmee-Sanford, FL Metro Area",2721022,149023,161139,168884,174132,178666,197617,204506,191311,195368,177886,173863,167068,159752,135071,112474,77843,48788,47631,38.3,96.5,1359780,542658,248911,314929,107789,145493,75611,103312
"Oshkosh-Neenah, WI Metro Area",171357,8939,10019,9772,11259,14598,11652,11048,11927,9641,9846,10491,11422,11510,9329,7878,4708,3633,3685,38.4,103.4,91076,32111,14634,19100,6473,18758,72873,92895
"Oskaloosa, IA Micro Area",22045,1339,1398,1658,1525,1503,1161,1318,1333,1298,1230,1206,1296,1589,1326,1078,744,568,475,39.1,104.3,11242,4030,1444,2015,1321,2432,69019,84768
"Othello, WA Micro Area",20690,1810,1778,2462,1908,1400,1256,1265,1124,1283,1038,965,1004,951,1074,528,350,247,247,29.2,105.2,8375,2181,1237,1106,2510,1341,65042,82379
"Ottawa, IL Micro Area",147676,7711,8685,8917,9072,8353,8707,8646,9056,8949,8336,9281,11184,10747,9242,8234,4924,3751,3881,42.5,102.4,70905,21009,12309,13349,8170,16068,70941,89060
"Ottawa, KS Micro Area",25994,1399,1737,1760,1957,1498,1430,1639,1550,1630,1458,1583,2079,1716,1568,1209,792,418,571,40.1,99.6,13437,4382,2156,2919,1411,2569,72142,85098
"Ottumwa, IA Micro Area",35265,2097,2016,2646,2570,1922,2101,2269,2052,2176,2243,2117,1856,2838,2184,1592,965,627,994,39.9,103.3,16531,4808,2363,3017,1683,4660,60034,80944
"Owatonna, MN Micro Area",37413,2037,2487,2884,2701,1861,2100,2116,2419,2353,2125,2286,2869,2181,2108,1877,1296,589,1124,40.2,101.7,18903,7267,2508,3504,1937,3687,83448,101912
"Owensboro, KY Metro Area",112322,7119,8246,7368,7204,6680,7037,7095,6706,7048,6339,6907,7458,7395,6690,5013,3279,2357,2381,39.1,96.1,51425,16867,7848,11242,4449,11019,65656,86600
"Owosso, MI Micro Area",68061,3594,3982,3898,4096,3880,4116,4078,3836,4158,4017,4701,4642,5810,4259,3874,2154,1419,1547,43.1,99.0,31461,9522,5745,6178,3692,6324,64464,82060
"Oxford, MS Micro Area",69359,3600,3435,3806,8294,8198,4754,4296,4137,4052,3540,3657,3532,3849,3415,3036,1607,1186,965,32.6,91.5,30433,12296,5494,6486,2450,3707,61617,90880
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,44886,50108,56162,55930,52977,55349,55584,54136,53205,51690,55364,57014,54539,46111,36923,23762,16202,18317,39.4,99.0,407470,165387,69944,80779,46716,44644,107327,141716
"Ozark, AL Micro Area",49516,3295,3434,2915,2920,3120,3540,3401,2986,3017,2820,2809,3104,3263,2824,2538,1628,1177,725,38.0,97.1,17811,5267,3523,3502,2532,2987,53955,69759
"Paducah, KY-IL Metro Area",102924,5617,6467,6402,5855,5612,5512,6212,5840,6909,6449,6481,6659,7712,7245,5018,4123,2595,2216,43.3,95.0,45564,16135,7958,10240,4213,7018,62286,87513
"Pahrump, NV Micro Area",53207,2197,2759,2141,2537,2133,2641,2657,2387,2717,2590,3206,3704,5069,5355,4589,3630,1622,1273,52.4,103.3,16902,4433,3466,3586,3123,2294,55975,76468
"Palatka, FL Micro Area",74235,4114,4371,4624,4115,3920,4059,4198,4269,3430,4172,4040,4952,6499,5924,4621,3251,2084,1592,45.0,98.0,26534,6875,4964,5324,4953,4418,47256,64848
"Palestine, TX Micro Area",57825,3007,3260,2954,3148,3707,4213,4360,4919,4473,4461,3900,3689,3036,2960,2290,1610,1364,474,39.5,157.1,20513,5924,3817,3601,3092,4079,58846,77422
"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,27381,29826,34636,33197,31204,34625,36166,33570,35925,34013,39454,49131,51243,45569,38509,28872,18748,18464,46.8,97.1,279335,121948,47676,57748,23456,28507,75817,101758
"Pampa, TX Micro Area",21916,1288,1679,1632,1430,1436,1225,1511,1716,1282,1229,1328,1506,1059,1265,864,754,410,302,36.9,113.9,9379,2719,1650,2058,1496,1456,56658,80831
"Panama City-Panama City Beach, FL Metro Area",206627,11389,11346,13066,11068,11414,13262,14514,13637,12521,12682,13559,14564,15907,12132,10689,6546,4473,3858,41.4,100.2,96032,35290,17378,21973,10986,10405,67834,89930
"Paragould, AR Micro Area",46182,2919,2941,3226,3121,2742,3012,3343,3170,2740,2961,2948,2589,3005,2506,1731,1619,873,736,37.8,98.3,19948,6442,2742,4130,2361,4273,56793,69475
"Paris, TN Micro Area",32345,1573,1940,1853,1784,1777,1584,1707,1774,1798,1826,2042,2631,2455,2350,2145,1415,1025,666,45.8,95.0,12984,4080,2068,2612,1299,2925,48540,67325
"Paris, TX Micro Area",62042,4015,4144,3914,3700,3380,3850,3700,3294,3392,3774,4076,4051,4034,4059,3456,2274,1700,1229,41.7,96.1,27720,9362,4941,5316,3440,4661,57315,75205
"Parkersburg-Vienna, WV Metro Area",88960,4670,4920,5810,5169,4556,4992,5045,5118,5419,5627,5892,6080,6730,6150,4897,3461,2608,1816,44.0,96.3,37571,12993,6290,8511,3502,6275,56029,75587
"Payson, AZ Micro Area",53610,2377,3123,2890,2571,2521,2602,2629,2615,2443,2230,2952,3094,5274,4885,4702,3325,1628,1749,51.4,100.0,19124,5938,4523,3892,2654,2117,59089,75671
"Pella, IA Micro Area",33551,1891,1923,2515,2619,2257,1746,1753,2164,1940,1849,2016,2175,2356,1737,1746,1069,690,1105,39.7,100.9,16896,6893,2457,2863,1474,3209,78059,100349
"Pensacola-Ferry Pass-Brent, FL Metro Area",516994,29118,30824,31555,33360,35157,36340,36371,33065,31680,29054,31412,35616,34492,28853,25267,15470,9558,9802,38.9,100.1,226117,86056,42358,51640,21560,24503,73588,95997
"Peoria, IL Metro Area",365773,21807,24961,23286,23791,20734,22052,22879,23287,23141,21384,22208,22480,24839,21399,18449,12683,7587,8806,40.0,97.1,170599,71947,30041,32302,13000,23309,70872,94469
"Peru, IN Micro Area",35772,1815,1885,2298,2327,2293,2262,2240,2176,2372,2478,2509,2448,2247,2152,1761,1115,827,567,41.0,118.4,15153,4123,2245,3024,1993,3768,61130,74702
"Petoskey, MI Micro Area",34159,1464,1654,1879,1987,1819,1983,1832,1901,2005,1881,2165,2553,2760,2916,2189,1474,857,840,46.4,99.1,16756,6398,3205,3718,1578,1857,73724,104840
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6241882,345905,364337,394002,404498,384410,423628,451920,422062,392806,367755,400739,420268,420396,351501,269845,180989,119836,126985,39.1,94.4,3122168,1490885,489210,611108,200766,330199,89273,123454
"Phoenix-Mesa-Chandler, AZ Metro Area",4941206,281730,305884,332904,329327,320446,357248,356693,333843,322075,303541,303081,295139,285462,248792,222520,158577,96243,87701,37.7,99.7,2396814,1001905,379250,548058,202658,264943,84703,113623
"Picayune, MS Micro Area",56781,3199,3357,4300,3677,3291,3329,2915,3438,3534,3449,3543,3617,4184,3138,3425,2072,1211,1102,41.1,96.3,23576,7020,4191,4847,3214,4304,56535,71898
"Pierre, SD Micro Area",20744,1048,1586,1417,1213,1005,1201,1105,1866,1132,1221,1193,1166,1798,1366,928,778,328,393,39.8,103.0,10759,4957,1720,2229,946,907,78965,95242
"Pikeville, KY Micro Area",92808,4956,5561,5424,5743,5029,5314,5418,5287,6092,6101,6372,6417,6933,6777,4662,3239,1987,1496,43.0,97.2,30752,11656,4981,6420,3383,4312,42014,61769
"Pine Bluff, AR Micro Area",73271,4168,4560,4206,5201,4814,4657,4538,4601,4384,4178,4478,5111,4873,4333,3952,2337,1611,1269,39.9,98.5,28141,8466,5535,5582,2377,6181,48727,66498
"Pinehurst-Southern Pines, NC Metro Area",102840,6003,6582,6033,5686,4528,5323,6608,7173,5692,5593,5665,6223,7000,7193,6150,5646,3011,2731,42.8,95.7,41485,17549,8208,7619,3781,4328,82837,105326
"Pittsburg, KS Micro Area",38963,2238,2335,2502,3586,4880,2221,2209,2107,2261,1926,2023,2269,2326,1787,1759,1209,566,759,33.8,101.6,19664,6767,3922,4084,1605,3286,50311,68884
"Pittsburgh, PA Metro Area",2443921,119860,129637,131016,142973,137447,154244,165655,157917,144117,137158,155523,168582,186415,167708,134364,86137,57889,67279,42.8,96.6,1210525,547762,188146,239458,93511,141648,73942,101289
"Pittsfield, MA Metro Area",128047,5126,5581,6103,7820,7654,6760,6998,7155,7248,6908,8282,9760,11125,10337,7911,5347,3839,4093,47.8,96.4,63154,29128,11844,10640,5097,6445,72565,105155
"Plainview, TX Micro Area",37541,2429,2856,2914,3106,2680,2461,2506,1999,2684,1951,2200,1968,2247,1696,1344,992,765,743,34.7,107.4,16398,4636,3289,2880,2638,2955,53276,70131
"Platteville, WI Micro Area",51678,2960,2950,3088,4562,5552,3035,2765,2500,3055,2502,2666,3011,3752,3088,2281,1499,1206,1206,36.9,107.6,25915,8716,4305,4727,3121,5046,64349,82821
"Plattsburgh, NY Micro Area",78961,3545,4064,4277,5341,6829,4807,4713,4261,5377,4415,5216,5793,5876,4801,3943,2887,1295,1521,41.5,103.7,36238,13096,7651,6983,3104,5404,69208,89583
"Plymouth, IN Micro Area",46225,2802,3182,3187,3446,2595,2762,2584,2821,2396,2804,2900,2994,3280,2789,2085,1414,913,1271,39.6,102.4,21912,6073,2783,3953,2557,6546,68041,85610
"Pocatello, ID Metro Area",88457,5549,6370,6591,6793,6463,6271,6150,5685,6331,4841,4589,4356,5224,4246,4198,2193,1396,1211,35.0,100.8,40552,15612,7347,8944,3504,5145,64080,83414
"Ponca City, OK Micro Area",43731,2746,3063,3185,3118,2634,2715,2590,2814,2313,2314,2371,2808,2676,2453,2363,1481,1083,1004,38.3,100.0,18889,5380,3675,3705,2620,3509,56673,77337
"Ponce, PR Metro Area",273739,9760,12910,16384,16900,18285,18465,16757,15053,15805,16358,17071,18418,18600,18154,15512,13544,8530,7233,43.8,90.9,80161,25411,17386,19548,7491,10325,20646,32629
"Pontiac, IL Micro Area",35659,2031,2070,2290,2201,1898,2170,2169,2154,2396,1922,2102,2399,2742,2201,1896,1117,845,1056,41.9,105.4,16604,5043,3085,3014,1639,3823,70796,88369
"Poplar Bluff, MO Micro Area",42166,2684,2597,2824,2763,2299,2339,2776,2547,2309,2524,2810,2070,3501,2831,1988,1666,934,704,40.5,95.1,17641,4593,3353,3938,1857,3900,49213,66403
"Port Angeles, WA Micro Area",77593,3058,3875,3501,3519,3078,3733,4301,4123,4499,3567,3983,4598,7332,7327,7242,4478,3114,2265,51.8,97.4,29513,10933,6412,5909,3243,3016,67999,89116
"Portland-South Portland, ME Metro Area",557764,25561,27010,30006,31159,30311,35302,37973,36800,33534,33367,36908,40206,43398,39001,30902,20359,13093,12874,43.7,95.7,301174,140818,44740,59012,25043,31561,88602,115657
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510529,128974,141664,155198,147026,143502,181511,199755,192039,190117,168475,162429,148464,151891,135865,110769,69445,40305,43100,39.1,99.3,1297840,606558,195416,246755,95063,154048,94573,124372
"Port Lavaca, TX Micro Area",19921,1162,1388,1262,1074,1103,1504,1373,1102,1166,988,1176,1411,1505,1164,826,571,446,700,39.9,107.1,9809,3452,1504,1701,1832,1320,71870,89985
"Port St. Lucie, FL Metro Area",506701,23554,25171,28179,26988,24436,25802,28392,27077,28154,28262,30945,34731,39285,37329,35039,29286,18809,15262,47.7,97.0,220264,76586,44471,51925,23110,24172,72506,99456
"Portsmouth, OH Micro Area",73118,3943,4329,4645,4806,4462,4738,4646,4412,4471,4561,4772,5625,4179,4367,3693,2376,1467,1626,40.6,98.2,27494,8978,5096,5976,2552,4892,49571,68069
"Port Townsend, WA Micro Area",33313,840,1021,1306,969,943,1334,1570,1421,1735,1387,1910,2602,3094,3884,4196,2767,1234,1100,59.5,95.5,11833,5074,2076,1990,1341,1352,71143,101205
"Pottsville, PA Micro Area",143259,6772,7967,8311,8356,7651,8520,8573,9010,8421,8882,10017,10636,10305,9540,7857,5060,3427,3954,43.9,106.8,64636,20174,11083,10514,7054,15811,66901,82922
"Prescott Valley-Prescott, AZ Metro Area",241656,9087,9838,11565,12184,10395,10830,11015,11871,10059,11112,13003,16926,22893,24190,24373,16317,8761,7237,55.0,97.1,96693,34470,18995,22648,10969,9611,66106,88175
"Price, UT Micro Area",20446,1295,1448,1555,1609,1152,1096,1279,1037,1480,1221,1051,941,1439,1307,1102,751,404,279,38.8,100.4,8406,2627,1099,2098,1209,1373,53673,70471
"Providence-Warwick, RI-MA Metro Area",1673807,83405,88030,96542,109312,110810,109974,116585,108355,102369,98965,111950,116650,120159,99123,77586,53520,33465,37007,40.6,96.0,847292,358232,145370,169147,70603,103940,85646,111377
"Provo-Orem-Lehi, UT Metro Area",695895,60258,62075,63602,67794,86372,58601,45103,45024,41908,35323,28378,24412,22290,18700,14648,9577,6389,5441,25.6,103.1,343138,156065,50424,73933,26998,35718,96745,121112
"Pueblo, CO Metro Area",168726,9109,10573,10687,10697,10106,10916,11073,10293,10905,9762,9967,10033,11867,10390,9274,5678,3487,3909,40.4,98.6,71066,25198,15189,13904,6765,10010,62250,82275
"Pullman, WA Micro Area",47042,1941,2318,1806,5772,10848,3504,3072,2819,1898,1753,1832,1864,2159,1731,1393,1196,604,532,26.1,102.9,23559,12177,4516,3584,1385,1897,52893,78956
"Punta Gorda, FL Metro Area",195083,5433,6213,6901,7351,6801,7352,7722,7846,7546,8197,10992,15294,18562,21600,20610,17488,10570,8605,60.0,96.8,70371,23838,14197,17725,6839,7772,66154,88575
"Putnam, CT Micro Area",95829,4399,5156,4871,5331,5064,5791,6243,6593,5604,6004,6885,7728,7908,5738,5260,3113,2172,1969,43.9,99.6,49276,18729,7747,9598,4901,8301,87564,107010
"Quincy, IL-MO Micro Area",75111,4397,4759,4964,4861,4649,4224,4530,4267,4556,3896,4542,5345,5172,4155,4082,2791,1752,2169,40.9,97.4,37152,13047,6575,7812,3346,6372,63470,81998
"Racine-Mount Pleasant, WI Metro Area",196888,11282,12759,12867,12655,11597,11711,11758,12314,11996,11582,12919,14330,14361,11519,9590,5861,3689,4098,40.5,99.1,96127,33357,15274,17968,9757,19771,75331,96943
"Raleigh-Cary, NC Metro Area",1449594,84902,93902,100914,99310,87445,99292,106436,105509,108337,103394,101049,91071,81088,65384,51270,32934,19206,18151,37.5,96.3,756731,401690,94302,142054,52047,66638,96066,126566
"Rapid City, SD Metro Area",151064,8670,9093,9219,9223,9410,9302,10253,10005,8250,7839,8363,10279,11401,10495,8541,4860,2694,3167,40.2,105.1,73935,27770,12764,16438,8271,8692,71985,95147
"Raymondville, TX Micro Area",20218,1196,1233,1554,1571,1735,1585,1505,1373,1364,1211,969,786,1180,808,871,532,400,345,33.7,117.9,8233,1870,2480,1352,1348,1183,45645,63701
"Reading, PA Metro Area",429989,23694,26623,27281,30626,27754,26194,27220,26180,25620,25251,27972,30035,29358,23405,20933,13627,7923,10293,39.9,98.4,211518,73900,33243,42239,18761,43375,77684,101044
"Red Bluff, CA Micro Area",65520,3836,4787,4416,4288,3259,3857,4087,4111,3657,3417,3728,3482,5520,4239,3400,2802,1246,1388,40.1,99.5,25550,6780,5371,5514,3603,4282,61834,92809
"Redding, CA Metro Area",181554,9945,11062,11562,10594,9404,10893,11870,11087,11415,9458,10531,12334,12819,11959,10877,6896,4264,4584,41.7,97.5,76845,28495,16810,16535,7162,7843,71931,96355
"Red Wing, MN Micro Area",47844,2629,2932,3125,2803,2399,2596,2811,3238,2911,2603,2862,3678,3644,3258,2385,1683,975,1312,42.3,100.5,24136,8815,3977,4118,3245,3981,82749,100638
"Reno, NV Metro Area",556539,29909,31814,34177,33619,34391,40165,41566,36811,35766,31640,33992,36050,36774,33764,28873,17991,10438,8799,39.4,103.7,277950,101775,49280,57960,26523,42412,84684,114037
"Rexburg, ID Micro Area",67279,4506,3531,3660,15019,13235,5854,3234,2045,2702,2355,1843,1767,2241,1666,1503,856,733,529,22.4,86.9,33433,11174,8475,7478,2826,3480,60690,90061
"Rice Lake, WI Micro Area",46741,2440,3030,2714,2663,2531,2468,2288,2672,2639,2587,2750,3284,3858,3591,2637,1928,1394,1267,44.8,101.0,22780,7356,3312,4370,2648,5094,64619,85894
"Richmond, IN Micro Area",66377,4010,4596,3716,4441,4303,3832,3687,3627,4167,3877,4242,4069,5053,4007,3508,2134,1434,1674,40.9,95.3,30114,9874,5220,5802,3193,6025,56652,76475
"Richmond, VA Metro Area",1327321,75606,77012,82535,85519,81497,92871,98287,92181,86560,79232,84860,88195,86247,72819,60119,37885,23661,22235,38.7,94.6,676475,310739,102157,137611,51973,73995,84405,114424
"Richmond-Berea, KY Micro Area",124287,6841,7109,7679,9663,12352,8233,7544,7210,7502,7706,7641,7442,7806,6781,5196,4312,1574,1696,36.6,96.4,56697,20317,10032,11494,4640,10214,58837,77291
"Rifle, CO Micro Area",79153,4710,4323,5755,4981,4519,4902,5620,6161,5041,5081,5243,4951,5335,4314,3855,1964,1187,1211,38.8,106.1,44165,16337,9135,9237,5105,4351,90267,135853
"Rio Grande City-Roma, TX Micro Area",65809,6055,5739,6372,5565,5363,4871,4010,3617,3859,3722,3534,2807,2909,2703,1568,1285,798,1032,29.1,95.3,24092,5638,7156,3690,4014,3594,38182,58105
"Riverside-San Bernardino-Ontario, CA Metro Area",4637725,287667,314707,350423,337780,317334,333278,337361,316342,306623,281676,280383,274332,259772,214132,168588,115705,72420,69202,35.6,100.4,2051577,667072,386911,430026,217246,350322,86031,110909
"Riverton, WY Micro Area",39472,2344,2862,2789,2808,2147,2115,2343,2619,2171,2088,2155,2233,3043,2756,2048,1382,872,697,39.4,102.8,17419,6064,3878,3050,2341,2086,64646,82157
"Roanoke, VA Metro Area",314661,16184,17335,19126,19168,17516,18745,19389,19723,17457,19109,20608,23486,21258,20352,18151,11401,7201,8452,42.8,93.5,147885,58988,24927,31812,10917,21241,67447,92151
"Roanoke Rapids, NC Micro Area",65431,3466,3305,4158,3682,3313,3733,3736,3378,3593,3566,4044,4959,5163,5178,3894,2593,1960,1710,45.9,94.5,24957,7250,4774,5185,2175,5573,45823,64462
"Rochelle, IL Micro Area",51536,2737,3091,3496,3568,2706,2806,2945,3097,3220,3004,3374,3746,3780,3115,2537,1567,1229,1518,42.0,99.7,24677,8797,3940,4211,2422,5307,79244,93293
"Rochester, MN Metro Area",227252,14140,15142,15884,14567,12499,14905,15050,15401,15532,12479,12858,14615,14736,12378,9928,7167,4692,5279,38.8,97.9,120246,60485,17886,19683,9173,13019,89675,120598
"Rochester, NY Metro Area",1058875,54566,57856,63573,70978,68909,67677,71012,68072,59404,58216,68238,75577,74932,63286,54568,34868,21727,25416,40.6,95.7,518225,236869,85170,102374,35855,57957,74438,99144
"Rockford, IL Metro Area",336605,20237,21939,23033,22458,20420,20797,20575,20311,19974,20160,21508,22915,21969,20097,15438,10488,6386,7900,39.6,96.7,154272,51366,25660,30747,13611,32888,66571,87240
"Rockingham, NC Micro Area",42818,2601,2107,3481,2601,2960,2808,2463,2220,2854,2625,2740,2593,3119,2747,1923,1477,800,699,40.3,94.3,17624,5324,3426,3129,2268,3477,43626,59517
"Rock Springs, WY Micro Area",41786,2361,3183,3089,2949,2529,2418,2845,3051,3312,2763,2222,2449,2713,2285,1572,976,579,490,37.4,104.9,20420,6347,3279,3695,3862,3237,76464,98608
"Rocky Mount, NC Metro Area",144228,8189,9300,8801,9218,8268,8930,8617,7923,8480,8669,9067,10786,9908,8978,8347,4411,2872,3464,41.6,91.5,63351,19284,11597,12969,5758,13743,57437,75798
"Rolla, MO Micro Area",44948,2393,2584,2772,3782,5110,2700,2588,2562,2615,2241,2399,2919,2732,2290,2051,1311,998,901,36.2,108.9,18932,7948,3359,3348,1216,3061,55427,72483
"Rome, GA Metro Area",98985,5656,6682,6139,7568,7046,6364,6227,6825,5433,5941,6220,6997,5370,5338,4517,2791,1977,1894,37.8,95.8,44462,13872,8525,8421,4465,9179,62540,85081
"Roseburg, OR Micro Area",111807,5304,5354,6827,6256,4901,5979,6366,6462,6273,6000,6509,6951,9295,8809,8198,5154,3336,3833,46.6,99.1,43510,13678,8911,8771,5175,6975,58983,79661
"Roswell, NM Micro Area",64446,3903,4467,4651,5177,4259,4188,4319,4074,4114,3477,3566,3692,4096,3361,2800,1831,1209,1262,36.9,101.5,26577,8134,5734,5146,3436,4127,52029,73075
"Ruidoso, NM Micro Area",20227,823,802,1157,869,816,1053,867,790,1233,885,1227,1695,1832,2126,1512,1455,672,413,52.7,95.7,8785,3237,2014,1637,1369,528,51643,75134
"Russellville, AL Micro Area",31978,2162,1933,2542,2375,1810,1771,1997,1889,1874,1913,2159,2340,1720,1559,1548,1001,679,706,38.6,97.4,13426,3394,2064,2402,1906,3660,51493,67215
"Russellville, AR Micro Area",84025,5097,5798,5435,6259,6177,5210,5483,5406,4576,4768,5020,5557,5402,4175,3810,2542,1495,1815,37.3,99.4,36413,10921,6048,7126,3541,8777,54936,74709
"Ruston, LA Micro Area",48160,2448,2736,2688,5234,8643,3097,2648,2882,2138,2163,2067,2414,2251,2196,1767,1248,677,863,28.6,96.9,20669,8177,4226,4219,1840,2207,38035,64508
"Rutland, VT Micro Area",60484,2468,2846,3247,3612,3247,3223,3361,3404,3138,3363,4154,4830,5091,4981,3908,2619,1621,1371,47.7,100.1,28696,10844,5371,5255,3343,3883,64778,87595
"Sacramento-Roseville-Folsom, CA Metro Area",2406563,135395,145067,162300,158526,153969,161646,173972,171191,160113,146317,148028,149646,147967,128640,105338,66468,44193,47787,38.3,97.0,1134025,497141,200879,235113,85394,115498,93986,123767
"Safford, AZ Micro Area",38860,2540,2737,3216,2813,2779,2914,2822,2337,2952,2187,2102,1852,2063,1786,1543,969,712,536,34.4,114.3,14151,4067,3081,2663,2823,1517,67326,80094
"Saginaw, MI Metro Area",189210,10651,11040,11641,12816,11943,12179,11637,10258,10943,10546,11658,12740,13461,11811,10336,6451,4254,4845,41.1,95.3,81321,28315,15644,17522,6363,13477,58347,81912
"St. Cloud, MN Metro Area",200816,12935,12624,14365,15738,18890,12513,12238,12273,12602,10176,11179,12467,11932,9642,8291,5827,3273,3851,35.5,101.8,105910,38906,18308,21296,9929,17471,75670,95790
"St. George, UT Metro Area",189827,11381,12626,14206,14332,11986,11375,10405,10661,11895,10001,9061,9795,10179,12008,11405,8470,5312,4729,39.0,99.4,82248,30644,14653,19961,7052,9938,76411,104854
"St. Joseph, MO-KS Metro Area",120609,6868,7544,7466,7821,7766,7392,7761,7982,7467,6949,7412,8084,8491,7354,5462,3587,2607,2596,39.8,105.4,55097,18140,8876,11022,5138,11921,62900,82259
"St. Louis, MO-IL Metro Area",2809414,158414,170132,179305,176818,164743,182918,190617,191153,179155,164563,173569,190252,197553,164365,130279,83003,55958,56617,39.8,95.3,1411164,631042,214051,285956,106381,173734,78225,107013
"St. Marys, PA Micro Area",30703,1387,1484,1903,1626,1550,1560,1502,1627,1626,1776,2306,2599,2569,2231,1910,1295,871,881,48.5,103.8,14855,4266,1865,2716,1408,4600,64103,80111
"Salem, OH Micro Area",101203,4998,5898,5802,5895,5353,5495,5777,5978,5763,6044,7197,7923,7409,7176,5798,3538,2365,2794,44.7,102.7,46031,13776,8842,7867,5059,10487,58474,75850
"Salem, OR Metro Area",435085,25568,28889,29491,31095,29711,29815,29731,29627,26874,25158,25226,24660,25755,24232,19756,13624,7553,8320,37.3,99.7,200064,71417,38136,39942,23570,26999,76010,97771
"Salina, KS Micro Area",59583,3520,3970,3827,4021,3576,3727,3333,3719,3580,3084,3685,3824,4575,3364,2899,1810,1525,1544,40.1,99.7,30446,10643,6065,6140,2473,5125,63998,81482
"Salinas, CA Metro Area",435834,28880,31424,33285,32977,29994,29526,29856,28344,29326,25938,25156,24386,23510,20569,16920,10723,6430,8590,35.3,103.5,186050,60803,36667,33103,34715,20762,94486,128334
"Salisbury, MD Metro Area",128802,7409,7606,8017,10555,12212,8534,7831,6981,7743,6939,7342,8612,7875,7205,5757,3805,2122,2257,36.6,96.6,60714,20881,13281,12135,5607,8810,69592,91032
"Salt Lake City-Murray, UT Metro Area",1261337,83722,92006,95854,92891,88938,103460,100676,97643,90055,78438,69258,62595,61732,50391,39892,23960,15311,14515,33.7,102.2,673516,290304,89802,147449,57501,88460,95045,121478
"San Angelo, TX Metro Area",120830,7545,8101,8423,8598,8791,8612,8829,8473,7347,5901,6212,7115,6832,6239,5668,3096,2477,2571,35.9,99.9,56084,19510,10034,12613,6631,7296,66037,87541
"San Antonio-New Braunfels, TX Metro Area",2612802,164900,178421,186847,184870,178021,189627,194826,192468,175473,162563,155135,151428,141266,120185,97762,63001,37561,38448,35.7,98.8,1236064,484614,217018,273741,118081,142610,74297,100400
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3282782,187443,187793,202121,205961,230329,257480,268091,242132,221464,199299,199089,195976,191767,161741,130126,87411,56111,58448,37.1,102.3,1576445,738700,274899,300062,111388,151396,102285,136236
"Sandpoint, ID Micro Area",49456,2217,2996,2765,2553,1812,2110,2651,2923,2753,2850,2963,3721,4210,4345,3993,2186,1231,1177,48.2,100.1,20304,6783,3949,3972,2524,3076,65168,91015
"Sandusky, OH Metro Area",115099,5342,5913,6561,6578,5866,6198,6344,6202,6063,6283,7554,8214,9864,8875,7487,5446,3124,3185,47.1,97.6,54673,19100,9340,11241,4706,10286,70687,95880
"Sanford, NC Micro Area",64565,3987,3831,4907,4123,3921,3859,4255,3517,4838,3552,4300,3962,4616,3672,2874,2044,1242,1065,39.9,97.1,29374,9552,4797,5537,3058,6430,63060,79634
"San Francisco-Oakland-Fremont, CA Metro Area",4653593,236381,244755,262320,258632,248271,328830,381580,366882,331690,314748,315030,308210,282917,242222,206728,135106,89786,99505,40.0,99.3,2440853,1342192,352855,414047,137365,194394,133780,190258
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969353,105680,111529,122964,126203,121341,150069,162429,150029,134535,131946,131262,126571,111974,90963,69095,49341,34947,38475,37.8,103.9,1031473,595852,140723,154033,60143,80722,157444,217226
"San Juan-Bayamón-Caguas, PR Metro Area",2063795,68354,90679,111351,123679,136885,144331,132944,119308,130725,129405,134899,137343,140946,123386,113533,95004,67181,63842,44.0,88.5,753443,263004,148729,192078,66847,82785,27966,44991
"San Luis Obispo-Paso Robles, CA Metro Area",281486,12377,13456,14753,22551,28116,15670,15754,17524,15147,14406,14877,16407,19740,20527,15899,11507,6211,6564,40.2,101.9,131629,54895,26331,26664,12201,11538,93398,126122
"Santa Cruz-Watsonville, CA Metro Area",266021,12077,13754,14611,21713,24179,16439,15540,15858,16100,15694,16719,17038,17515,16793,13971,7983,4783,5254,39.6,99.6,133217,63495,21704,22983,13654,11381,109266,153085
"Santa Fe, NM Metro Area",155175,5877,6685,7894,8258,7703,8040,8721,9294,8904,8662,9537,10891,12368,13367,12817,8152,4297,3708,48.5,95.3,72053,33786,13765,13501,6365,4636,74689,105593
