Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Medford, OR Metro Area",222563,11203,12488,13893,12717,11548,13256,14300,14367,13522,12234,12646,14393,14961,16158,14152,8858,5559,6308,42.7,96.4,98844,38548,18132,22134,7653,12377,71443,94170
"Memphis, TN-MS-AR Metro Area",1341606,87862,94241,95793,90471,84281,95006,94101,88266,84192,81068,83198,81547,84033,68727,55602,35084,19671,18463,36.7,91.9,622868,230652,97508,130700,47182,116826,64743,92389
"Menomonie, WI Micro Area",45349,2152,2392,2733,4159,5666,2585,2505,2929,2305,2351,2529,2758,2857,2561,1903,1502,813,649,35.8,103.0,24154,7558,3983,4525,2447,5641,71785,88965
"Merced, CA Metro Area",285597,20595,22993,24747,25041,20735,20969,20613,19247,17395,16126,15325,15222,13521,11391,8574,5595,3852,3656,31.8,103.0,111532,28437,20040,20215,20945,21895,65044,87129
"Meridian, MS Micro Area",87408,5268,5282,6177,5815,4951,5406,5559,5231,5218,5185,5303,5197,6343,5117,4665,3206,1953,1532,40.0,92.9,35124,12329,6568,7455,2983,5789,49156,69207
"Mexico, MO Micro Area",24688,1541,1451,1443,1823,1259,1550,1639,1576,1527,1444,1366,1419,2067,1387,1345,744,484,623,40.3,90.7,10631,3046,2031,2242,831,2481,56232,71849
"Miami, OK Micro Area",30360,1998,2239,2170,2287,2012,1835,1842,1669,1665,1668,1737,1670,2079,1778,1447,1082,650,532,37.3,97.1,12259,3693,2536,2343,1518,2169,48656,62303
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6138876,328741,328738,358123,351244,342152,377018,414292,408401,403835,409103,424054,432324,395346,337528,286497,222974,150479,168027,41.9,95.9,3051566,1179393,586304,687259,278731,319879,73481,109356
"Michigan City-La Porte, IN Metro Area",112141,6168,6887,6732,6273,6899,7313,7355,7257,6794,6705,6933,6959,8643,6898,5921,3677,2482,2245,40.8,107.6,49621,15261,8942,9724,5363,10331,70452,88255
"Middlesborough, KY Micro Area",23878,1432,1306,1522,1447,1367,1584,1382,1672,1084,1513,1612,1801,1662,1593,1122,938,360,481,41.2,99.9,7135,2172,1425,1424,628,1486,32403,48307
"Midland, MI Metro Area",83641,4481,4969,4985,5175,4481,5019,5274,5474,5004,4890,5382,5982,5991,4823,4549,3015,2049,2098,41.8,99.8,38346,16520,6397,7650,3079,4700,77538,102291
"Midland, TX Metro Area",176726,14678,15167,13758,11797,10529,14248,15326,14897,12078,9547,8432,9172,8296,6863,4676,2605,2136,2521,32.7,104.5,87985,35078,11180,18596,11594,11537,93442,126152
"Milledgeville, GA Micro Area",43669,2014,2191,2473,5029,4484,2527,2485,2551,2066,2514,2431,2825,2786,2330,2098,1348,882,635,36.4,101.3,16348,5771,3357,3375,1293,2552,55413,85755
"Milwaukee-Waukesha, WI Metro Area",1566361,92816,97559,103754,102205,95698,107109,108064,106279,99338,90541,95825,105222,101434,87735,69314,41907,28651,32910,38.5,96.2,792998,346494,121312,154388,51192,119612,76404,104403
"Minden, LA Micro Area",36189,2083,2115,2649,2206,2110,2090,2098,2131,2030,1996,2235,2683,2443,2108,2145,1728,668,671,41.2,96.6,12786,3669,2332,2827,1619,2339,37396,58262
"Mineral Wells, TX Micro Area",28920,1722,1790,2075,1741,1690,1568,1790,1772,1496,1532,1796,2099,2071,1910,1534,1005,671,658,41.1,97.3,12136,3461,2175,2566,1762,2172,64972,83595
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3693351,223710,239495,250501,238078,217210,253030,267061,272730,249473,220445,231282,240289,234388,188422,149464,92880,60689,64204,37.8,99.5,1990195,966982,278436,373622,126386,244769,98180,128647
"Minot, ND Metro Area",76773,5323,5253,5057,4985,6434,6458,6036,5608,4544,3723,3714,4436,4143,3509,2768,1794,1384,1604,33.9,108.7,37402,13907,5791,7090,5442,5172,79195,100479
"Missoula, MT Metro Area",124435,5838,5660,7405,7923,11722,10036,9433,9324,8003,6537,6870,7187,7258,7183,6084,3780,2006,2186,37.3,101.4,68572,28898,13201,13175,6067,7231,70888,97280
"Mitchell, SD Micro Area",25779,1811,1620,1785,1919,1397,1524,1589,1458,1550,1377,1290,1729,1659,1591,1357,903,522,698,39.5,97.5,13474,4758,2439,2672,1794,1811,64723,84281
"Moberly, MO Micro Area",24524,1427,1650,1428,1398,1488,1730,1570,1548,1670,1584,1520,1444,1870,1212,1207,792,571,415,40.1,108.1,10762,3152,1827,2032,844,2907,55310,69996
"Mobile, AL Metro Area",413162,26371,25930,27826,26467,26320,28361,28560,24830,26270,23727,24626,25748,28018,24076,18596,12963,7846,6627,38.4,91.8,179014,62473,31069,37437,18614,29421,58119,79051
"Modesto, CA Metro Area",552250,37447,39601,44988,41311,36318,38555,39962,37695,35593,32325,31855,30849,30846,24986,19895,11998,8587,9439,34.8,99.3,240228,71649,43038,45853,33924,45764,79661,102442
"Monroe, LA Metro Area",224705,14353,14205,16491,15297,14838,14042,14854,13590,14631,13028,13319,14157,14298,12309,10528,6163,4313,4289,38.0,93.7,92871,33589,17254,19274,9776,12978,49203,73068
"Monroe, MI Metro Area",155001,7850,8707,9967,9374,8681,9060,9564,9030,9606,9445,10472,11113,12166,10085,8261,5150,3459,3011,42.6,99.5,71545,25433,11071,12818,8044,14179,75272,96199
"Montgomery, AL Metro Area",385159,24183,24533,25703,25397,25063,25909,26817,24652,24495,23425,23792,25874,23629,21142,16196,11978,6269,6102,37.9,91.1,167816,62577,26523,37613,12152,28951,62746,85382
"Monticello, IN Micro Area",24709,1502,1919,1325,1664,1315,1343,1314,1175,1438,1435,1612,1748,1833,1797,1240,816,513,720,42.5,101.7,11221,3142,1700,2144,1122,3113,66143,81327
"Monticello, NY Micro Area",79147,4656,4969,4379,4964,4418,4614,4978,4690,4950,4536,5359,5650,5926,5054,4285,2802,1620,1297,41.7,107.4,35477,12779,8612,6528,3303,4255,69826,101841
"Montrose, CO Micro Area",43272,2049,2403,2804,2475,2221,1972,2172,2627,2501,2561,2365,2843,3311,3867,2606,1948,1448,1099,45.7,99.8,18928,5987,3318,3984,2817,2822,66072,86915
"Morehead City, NC Micro Area",68652,2577,3195,3727,3572,2992,3116,3357,3668,4213,3747,4660,4694,7083,6023,5061,3155,2097,1715,50.1,95.8,30470,12144,5497,6138,2870,3821,70235,93931
"Morgan City, LA Micro Area",48455,3239,3254,3361,3187,2453,2834,2747,3356,2431,2787,2985,3252,3865,2883,2201,1582,986,1052,39.7,96.0,19550,4999,3416,4781,2577,3777,51768,70302
"Morgantown, WV Metro Area",140724,6380,6376,6738,11516,17988,11038,10289,9412,8986,7497,7948,7723,7993,6707,6336,3732,2210,1855,35.0,108.6,68068,32397,11966,12304,5332,6069,62394,89767
"Morristown, TN Metro Area",120765,6575,7860,7084,7445,7271,7250,7013,6740,7057,7552,8814,8095,9075,7251,6278,4414,2756,2235,42.0,98.1,53856,16108,9447,11517,6013,10771,58130,80245
"Moscow, ID Micro Area",40315,1979,2134,2133,4560,5843,3015,2655,2338,2082,1869,1807,2124,1942,1793,1784,1174,471,612,30.7,105.2,19780,8806,3386,3694,1825,2069,65179,86327
"Moses Lake, WA Micro Area",100428,7253,8046,8467,8068,6605,6945,6781,6342,5774,5545,5301,5289,5619,4225,4489,2874,1380,1425,33.5,104.4,43963,13531,7369,6316,10321,6426,71115,89681
"Moultrie, GA Micro Area",45907,3016,3430,3289,3185,2821,2910,2911,3438,2633,2866,2726,2617,2973,2318,1975,1319,785,695,37.2,100.3,20184,6072,3010,3661,3338,4103,49691,71702
"Mountain Home, AR Micro Area",42150,1784,2054,2147,2262,1746,1890,2040,2049,2220,2115,2452,2636,3657,3867,3018,2717,1899,1597,51.9,95.0,14864,4700,2030,3613,1556,2965,48427,68034
"Mountain Home, ID Micro Area",29046,2245,2035,1804,1993,2495,2618,2308,1981,1431,1185,1536,1814,1481,1381,1052,811,404,472,32.5,114.3,10160,2718,1947,1915,1733,1847,58976,76919
"Mount Airy, NC Micro Area",71407,3736,4175,4331,4399,4058,4168,3842,4063,4032,4398,5057,5215,5214,4710,3828,2771,1571,1839,43.7,95.1,31960,9921,4926,7043,3646,6424,56095,76119
"Mount Pleasant, MI Micro Area",64475,2936,3116,3327,7029,11786,4165,3607,3151,3490,2954,3184,3305,3607,3207,2282,1423,953,953,29.8,95.4,31626,10398,7298,6296,2559,5075,53759,72425
"Mount Pleasant, TX Micro Area",55950,3616,4313,4368,4092,3354,3422,3229,3190,3473,3121,3357,3172,3750,3328,2514,1555,1238,858,37.6,97.3,23614,6585,4511,4079,2482,5957,56163,73948
"Mount Sterling, KY Micro Area",47286,2765,3267,3179,2863,2812,2934,2846,2646,2849,3005,3435,3441,2945,2817,2333,1474,892,783,40.7,98.6,19556,5534,2526,4177,1809,5510,55186,73051
"Mount Vernon, IL Micro Area",36808,2141,2370,2344,2175,1936,2236,2217,2507,2100,2253,2295,2503,2470,2408,1874,1341,886,752,41.1,106.1,16103,4728,3018,2988,1612,3757,61102,77553
"Mount Vernon, OH Micro Area",62888,3725,3885,4338,4779,4654,3364,3548,3491,3619,3400,3655,3699,4981,4162,2886,1998,1295,1409,39.4,97.3,29518,10208,5102,6279,2889,5040,73988,90200
"Mount Vernon-Anacortes, WA Metro Area",130407,7068,7897,7816,7425,6705,8033,8237,8734,7664,7178,7368,8206,9266,9060,8241,5361,3441,2707,41.9,99.2,58165,21004,10200,10612,7816,8533,85474,108032
"Muncie, IN Metro Area",112109,5353,5932,5461,10349,14809,6956,6202,5837,5766,5906,6501,6703,6839,6024,5061,3784,2199,2427,35.7,93.6,52649,18509,10236,10878,4245,8781,56932,71257
"Murray, KY Micro Area",37882,1660,1931,2155,3546,5210,2250,2039,2057,2181,1901,2002,2240,2353,2089,1655,1132,916,565,35.4,94.8,17571,6194,2840,3893,1472,3172,51854,72773
"Murrells Inlet, SC Micro Area",64200,2609,3098,3179,3365,3198,2956,2994,2691,3439,3299,3885,4340,5995,6134,5529,3930,2152,1407,51.6,92.1,26052,9119,6097,5111,2177,3548,66734,98299
"Muscatine, IA Micro Area",42735,2541,2592,3310,2879,2550,2403,2612,3015,2376,2582,2579,2748,3039,2608,1989,1297,765,850,39.1,100.7,21242,6538,3825,3351,1924,5604,69512,87676
"Muskegon-Norton Shores, MI Metro Area",175378,10134,11497,11063,11050,10225,11460,11516,10991,10937,10174,10472,12051,12212,11441,7946,4899,3710,3600,39.9,99.5,77505,23702,14189,14667,6673,18274,63495,81923
"Muskogee, OK Micro Area",66471,4207,4631,4617,4512,4235,4223,4230,4235,4387,3861,3728,3500,4785,3811,2921,2217,1246,1125,38.2,96.5,25903,8301,4677,5228,3114,4583,51999,69594
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",368937,15769,16854,19372,22558,17553,19083,20323,18880,20845,20514,23402,26907,32010,31844,30209,17868,8598,6348,48.2,94.0,160429,53678,35578,39659,16446,15068,64623,84884
"Nacogdoches, TX Micro Area",64897,3980,4033,4723,6635,7609,4032,3573,3659,3379,2889,3241,3566,3559,3513,2586,1658,1336,926,31.8,93.5,28839,9176,5667,6395,3416,4185,51528,74527
"Nantucket, MA Micro Area",14299,683,861,803,826,676,831,729,1022,1682,836,1220,991,922,700,684,376,269,188,40.8,103.3,8135,3864,1381,1087,1265,538,119750,194491
"Napa, CA Metro Area",136070,6221,6888,8490,8722,7912,8110,8364,8938,8673,8495,8841,9466,8933,7906,7770,5350,3359,3632,42.8,100.2,68069,27169,13331,12899,6847,7823,108970,154011
"Naples-Marco Island, FL Metro Area",387681,15948,16806,18984,18936,17258,17215,17814,19177,18518,19623,22586,26651,28073,32609,29893,30647,20268,16675,53.1,97.4,163506,61100,35887,34335,18550,13634,86173,140361
